"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\15209\Desktop\qhAutoFinal\client\src\setupProxy.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\15209\Desktop\qhAutoFinal\client\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\15209\Desktop\qhAutoFinal\models\Car.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\15209\Desktop\qhAutoFinal\models\ZipCode.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\15209\Desktop\qhAutoFinal\package-lock.json", "JSON", 2374, 0, 0, 0, 0, 0, 0, 1, 2375
"c:\Users\15209\Desktop\qhAutoFinal\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\15209\Desktop\qhAutoFinal\routes\addCars.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\15209\Desktop\qhAutoFinal\routes\addzip.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\15209\Desktop\qhAutoFinal\routes\getMake.js", "JavaScript", 0, 0, 14, 0, 0, 0, 1, 3, 18
"c:\Users\15209\Desktop\qhAutoFinal\routes\getModel.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\15209\Desktop\qhAutoFinal\routes\getYears.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 5, 19
"c:\Users\15209\Desktop\qhAutoFinal\routes\getZip.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\15209\Desktop\qhAutoFinal\routes\returnZip.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\15209\Desktop\qhAutoFinal\server.js", "JavaScript", 0, 0, 31, 0, 0, 0, 2, 8, 41
"Total", "-", 729842, 1, 36059, 147, 189, 153, 305, 317, 767013
